State/UT,District,Population,Male,Female,Literate,Literate_Male,Literate_Female,Households_Rural,Urban_Households,Households,Young_and_Adult,Middle_Aged,Senior_Citizen,Age_Not_Stated
JAMMU AND KASHMIR,Kupwara,870354.0,474190.0,396164.0,0,282823.0,156831.0,158438.0,,0,600759.0,178435.0,89679.0,1481.0
JAMMU AND KASHMIR,Badgam,753745.0,,355704.0,0,207741.0,127908.0,160649.0,27190.0,0,503223.0,160933.0,88978.0,611.0
JAMMU AND KASHMIR,Leh(Ladakh),133487.0,78971.0,54516.0,0,62834.0,30936.0,36920.0,17474.0,0,70703.0,41515.0,,250.0
JAMMU AND KASHMIR,Kargil,140802.0,,63017.0,0,56301.0,29935.0,40370.0,7774.0,0,87532.0,35561.0,17488.0,221.0
JAMMU AND KASHMIR,Punch,476835.0,251899.0,224936.0,0,163333.0,98391.0,132139.0,15269.0,0,304979.0,109818.0,61334.0,704.0
JAMMU AND KASHMIR,Rajouri,642415.0,345351.0,297064.0,0,224469.0,139640.0,196070.0,17508.0,0,404903.0,153165.0,83319.0,1028.0
JAMMU AND KASHMIR,Kathua,616435.0,326109.0,290326.0,0,228499.0,160705.0,181374.0,33473.0,0,357864.0,160123.0,97684.0,764.0
JAMMU AND KASHMIR,Baramula,1008039.0,534733.0,473306.0,0,337170.0,207979.0,210543.0,48932.0,0,636524.0,239659.0,130513.0,1343.0
JAMMU AND KASHMIR,Bandipore,392232.0,207680.0,184552.0,0,117058.0,68921.0,80521.0,17555.0,0,252378.0,,48802.0,587.0
JAMMU AND KASHMIR,Srinagar,1236829.0,651124.0,585705.0,0,431746.0,316838.0,4518.0,257721.0,0,693238.0,351561.0,190330.0,
JAMMU AND KASHMIR,Ganderbal,297446.0,158720.0,138726.0,0,,52695.0,63788.0,13558.0,0,194165.0,66945.0,35911.0,425.0
JAMMU AND KASHMIR,Pulwama,560440.0,293064.0,267376.0,0,178326.0,115632.0,147520.0,21703.0,0,342601.0,,,696.0
